school,author,original_publication_date,title,sentence_count
analytic,Kripke,1972,Naming And Necessity,2681
analytic,Kripke,1975,Philosophical Troubles,9798
analytic,Lewis,1985,Lewis - Papers,13120
analytic,Moore,1910,Philosophical Studies,3668
analytic,Popper,1959,The Logic Of Scientific Discovery,4678
analytic,Quine,1950,Quintessence,7373
analytic,Russell,1912,The Problems Of Philosophy,1560
analytic,Russell,1921,The Analysis Of Mind,3513
analytic,Wittgenstein,1921,Tractatus Logico-Philosophicus,1212
analytic,Wittgenstein,1950,On Certainty,1984
analytic,Wittgenstein,1953,Philosophical Investigations,5838
aristotle,Aristotle,-320,Aristotle - Complete Works,48779
capitalism,Keynes,1936,"A General Theory Of Employment, Interest, And Money",3411
capitalism,Ricardo,1817,On The Principles Of Political Economy And Taxation,3090
capitalism,Smith,1776,The Wealth Of Nations,11693
communism,Lenin,1862,Essential Works Of Lenin,4469
communism,Marx,1848,The Communist Manifesto,493
communism,Marx,1883,Capital,12996
continental,Deleuze,1968,Difference And Repetition,5861
continental,Deleuze,1972,Anti-Oedipus,6679
continental,Derrida,1967,Writing And Difference,5999
continental,Foucault,1961,History Of Madness,8033
continental,Foucault,1963,The Birth Of The Clinic,2518
continental,Foucault,1966,The Order Of Things,4689
empiricism,Berkeley,1710,A Treatise Concerning The Principles Of Human Knowledge,1040
empiricism,Berkeley,1713,Three Dialogues,1694
empiricism,Hume,1739,A Treatise Of Human Nature,7047
empiricism,Hume,1779,Dialogues Concerning Natural Religion,1265
empiricism,Locke,1689,Essay Concerning Human Understanding,7742
empiricism,Locke,1689,Second Treatise On Government,1143
feminism,Beauvoir,1949,The Second Sex,13017
feminism,Davis,1981,"Women, Race, And Class",3059
feminism,Wollstonecraft,1792,Vindication Of The Rights Of Woman,2559
german_idealism,Fichte,1798,The System Of Ethics,5308
german_idealism,Hegel,1807,The Phenomenology Of Spirit,7099
german_idealism,Hegel,1817,Science Of Logic,10678
german_idealism,Hegel,1820,Elements Of The Philosophy Of Right,4923
german_idealism,Kant,1781,Critique Of Pure Reason,7472
german_idealism,Kant,1788,Critique Of Practical Reason,2452
german_idealism,Kant,1790,Critique Of Judgement,4204
nietzsche,Nietzsche,1886,Beyond Good And Evil,1906
nietzsche,Nietzsche,1887,Thus Spake Zarathustra,5916
nietzsche,Nietzsche,1888,Ecce Homo,1504
nietzsche,Nietzsche,1888,The Antichrist,1170
nietzsche,Nietzsche,1888,Twilight Of The Idols,3052
phenomenology,Heidegger,1927,Being And Time,8505
phenomenology,Heidegger,1950,Off The Beaten Track,6734
phenomenology,Husserl,1907,The Idea Of Phenomenology,910
phenomenology,Husserl,1936,The Crisis Of The European Sciences And Phenomenology,4832
phenomenology,Merleau-Ponty,1945,The Phenomenology Of Perception,7592
plato,Plato,-350,Plato - Complete Works,38366
rationalism,Descartes,1637,Discourse On Method,340
rationalism,Descartes,1641,Meditations On First Philosophy,792
rationalism,Leibniz,1710,Theodicy,5027
rationalism,Malebranche,1674,The Search After Truth,12997
rationalism,Spinoza,1677,Ethics,3304
rationalism,Spinoza,1677,On The Improvement Of Understanding,489
stoicism,Epictetus,125,Enchiridion,323
stoicism,Marcus Aurelius,170,Meditations,2212
